"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"neur8_c",451,1388,24.6296829971182,3.10842948409962,25,24.9559352517986,2.9652,15,30,15,-0.999059390000589,0.991350042672148,0.0834346189078068
"wrat3",452,1416,4.77189265536723,0.783812070792851,5,4.98324514991182,0,1,5,4,-4.02028732503847,15.8201588130358,0.0208295707730135
"p_flag",453,1416,0.939971751412429,0.237623092698891,1,1,0,0,1,1,-3.70049082271517,11.7018978770376,0.00631476244256767
"neur5_s",454,1318,0.00455235204855842,1.05863505975388,0,0.0426136363636364,1.4826,-3,2,5,-0.266135963909192,-0.327884860207944,0.0291600703685695
"neur6_s",455,1322,0.046142208774584,1.03173905842605,0,0.0595463137996219,1.4826,-2,3,5,-0.0838777751219717,-0.358133597381124,0.0283761939798496
"neur7a_s",456,1330,0.0639097744360902,1.03642018214625,0,0.103383458646617,1.4826,-3,4,7,-0.111472105170956,0.612790515585925,0.0284190817231137
"neur7b_s",457,1330,-0.00225563909774436,1.10372283119375,0,-0.0103383458646617,1.4826,-3,3,6,0.00444878775891385,-0.294983034791533,0.0302645489538869
"neur7c_s",458,1331,0.00150262960180316,1.01936033117221,0,0.0309859154929577,1.4826,-3,2,5,-0.228562293610967,-0.54234087236723,0.0279407912782697
"neur9_s",459,1326,-0.000754147812971342,1.02754488341659,0,-0.0376647834274953,1.4826,-3,4,7,0.255915598505783,0.0496315674662151,0.0282181825713257
"mneur34",460,1331,0.00300525920360631,0.833503331566058,0,-0.00845070422535211,1.4826,-2,3,5,0.142293729717268,-0.0133510778962935,0.0228464282009571
"mneur10",461,1322,0.0226928895612708,1.0416457649104,0,0.0623818525519849,1.4826,-3,3,6,-0.286180409994626,0.00982229957289382,0.0286486607655212
"mneur13",462,1262,0.00713153724247227,0.906814371660996,0,0.0950495049504951,1.4826,-3,2,5,-0.594211709098933,-0.374341872778594,0.0255263498403801
"n_flag",463,1416,0.855932203389831,0.351282525993275,1,0.944444444444444,0,0,1,1,-2.02504145535678,2.10227905212641,0.00933522780415773
"verbal_s",464,1331,-0.00352892561983471,0.999943777230163,-0.027,-0.0144253521126761,1.0837806,-3.34,3.026,6.366,0.0745069928632064,-0.325472700358632,0.0274085811613486
"speed_s",465,1331,-0.000186326070623592,1.00279241091655,-0.016,0.000322065727699529,0.9948246,-3.369,3.424,6.793,0.0370727018885066,-0.0636630531186695,0.0274866625588933
"reason_s",466,1330,-0.000699248120300751,0.998775558007942,0.078,0.0408524436090226,1.0422678,-3.649,2.209,5.858,-0.381748696403662,-0.287884297116366,0.0273868501357211
"memory_s",467,1330,-0.000779699248120302,1.00315565540101,0.145,0.0801334586466165,0.9088338,-4.135,2.288,6.423,-0.790213255865667,0.648845919948281,0.027506954267147
"neuro_ss",468,1331,-0.00189105935386927,1.00042853569873,0.022,0.0124450704225352,0.9829638,-3.283,2.887,6.17,-0.140316211966753,-0.150427937495702,0.0274218684502261
"scid01",469,1460,0.977397260273973,0.148684221295084,1,1,0,0,1,1,-6.4172280245167,39.2076714952319,0.00389124391687721
"scid02",470,1460,0.967123287671233,0.178374961837224,1,1,0,0,1,1,-5.2339558804212,25.4117008398157,0.00466828611083598
"scid03",471,1460,0.277397260273973,0.447867622776976,0,0.221746575342466,0,0,1,1,0.993375099172335,-1.01389895661231,0.0117212313957539
"scid04",472,1460,0.108219178082192,0.310763469712284,0,0.0102739726027397,0,0,1,1,2.51968147512045,4.35177681218678,0.00813305171572743
